Year,Sort order,Country,Notes,Code,Type of data (a),Immigrants
1990,1990001,WORLD,,900,,152542373
1990,1990002,More developed regions,b,901,,82391619
1990,1990003,Less developed regions,c,902,,70150754
1990,1990004,Least developed countries,d,941,,11073226
1990,1990005,"Less developed regions, excluding least developed countries",,934,,59077528
1990,1990006,High-income countries,e,1503,,75239010
1990,1990007,Middle-income countries,e,1517,,68475181
1990,1990008,Upper-middle-income countries,e,1502,,33412332
1990,1990009,Lower-middle-income countries,e,1501,,35062849
1990,1990010,Low-income countries,e,1500,,8533974
1990,1990011,Sub-Saharan Africa,f,947,,14690319
1990,1990012,AFRICA,,903,,15690623
1990,1990013,Eastern Africa,,910,,5964031
1990,1990014,Burundi,,108,B R,333110
1990,1990015,Comoros,,174,B,14079
1990,1990016,Djibouti,,262,B R,122221
1990,1990017,Eritrea,,232,I,11848
1990,1990018,Ethiopia,,231,B R,1155390
1990,1990019,Kenya,,404,B R,297292
1990,1990020,Madagascar,,450,C,23917
1990,1990021,Malawi,,454,B R,1127724
1990,1990022,Mauritius,1,480,C,3613
1990,1990023,Mayotte,,175,B,15229
1990,1990024,Mozambique,,508,B R,122332
1990,1990025,Réunion,,638,B,57210
1990,1990026,Rwanda,,646,B R,159869
1990,1990027,Seychelles,,690,B,3721
1990,1990028,Somalia,,706,I R,478294
1990,1990029,South Sudan,,728,B R,..
1990,1990030,Uganda,,800,B R,558307
1990,1990031,Tanzania,2,834,B R,574025
1990,1990032,Zambia,,894,B R,279029
1990,1990033,Zimbabwe,,716,B R,626821
1990,1990034,Middle Africa,,911,,1460530
1990,1990035,Angola,,24,B R,33517
1990,1990036,Cameroon,,120,B C,265344
1990,1990037,Central African Republic,,140,C,67234
1990,1990038,Chad,,148,B R,74342
1990,1990039,Republic of the Congo,,178,B,129597
1990,1990040,Democratic Republic of the Congo,,180,B R,754194
1990,1990041,Equatorial Guinea,,226,C,2740
1990,1990042,Gabon,,266,C,127980
1990,1990043,Sao Tome and Principe,,678,C,5582
1990,1990044,Northern Africa,,912,,2403200
1990,1990045,Algeria,,12,B R,273954
1990,1990046,Egypt,,818,B R,173708
1990,1990047,Libya,,434,C,457075
1990,1990048,Morocco,,504,C,54895
1990,1990049,Sudan,3,729,B R,1402896
1990,1990050,Tunisia,,788,C,37984
1990,1990051,Western Sahara,,732,I,2688
1990,1990052,Southern Africa,,913,,1392359
1990,1990053,Botswana,,72,C,27510
1990,1990054,Lesotho,,426,C R,8240
1990,1990055,Namibia,,516,B,120641
1990,1990056,South Africa,,710,B R,1163883
1990,1990057,Swaziland,,748,B R,72085
1990,1990058,Western Africa,,914,,4470503
1990,1990059,Benin,,204,C B R,76212
1990,1990060,Burkina Faso,,854,B R,349657
1990,1990061,Cape Verde,,132,B,8931
1990,1990062,Ivory Coast,,384,C B,1816426
1990,1990063,Gambia,,270,B,118123
1990,1990064,Ghana,,288,B,164851
1990,1990065,Guinea,,324,C R,403621
1990,1990066,Guinea-Bissau,,624,B R,15368
1990,1990067,Liberia,,430,B,94964
1990,1990068,Mali,,466,B R,160736
1990,1990069,Mauritania,,478,C R,111650
1990,1990070,Niger,,562,B R,115464
1990,1990071,Nigeria,,566,C R,456621
1990,1990072,St. Helena,4,654,B,383
1990,1990073,Senegal,,686,B R,270410
1990,1990074,Sierra Leone,,694,B R,222242
1990,1990075,Togo,,768,C R,84844
1990,1990076,ASIA,,935,,48108431
1990,1990077,Central Asia,,5500,,6630683
1990,1990078,Kazakhstan,,398,B,3619200
1990,1990079,Kyrgyzstan,,417,B,623083
1990,1990080,Tajikistan,,762,B,428900
1990,1990081,Turkmenistan,,795,B,306500
1990,1990082,Uzbekistan,,860,B,1653000
1990,1990083,Eastern Asia,,906,,3959345
1990,1990084,China,5,156,C,376361
1990,1990085,Hong Kong,6,344,B,2218473
1990,1990086,Macao,7,446,B,205047
1990,1990087,North Korea,,408,I,34103
1990,1990088,Japan,,392,C,1075626
1990,1990089,Mongolia,,496,C,6718
1990,1990090,South Korea,,410,C,43017
1990,1990091,Southern Asia,,5501,,19436343
1990,1990092,Afghanistan,,4,B,57686
1990,1990093,Bangladesh,,50,B R,881617
1990,1990094,Bhutan,,64,B,23807
1990,1990095,India,,356,B R,7493204
1990,1990096,Iran,,364,B R,4291601
1990,1990097,Maldives,,462,C,8689
1990,1990098,Nepal,,524,B R,429974
1990,1990099,Pakistan,,586,B R,6208204
1990,1990100,Sri Lanka,,144,B R,41561
1990,1990101,South-Eastern Asia,,920,,2876616
1990,1990102,Brunei,,96,B,73200
1990,1990103,Cambodia,,116,B,38375
1990,1990104,Indonesia,,360,B R,465612
1990,1990105,Laos,,418,C R,22866
1990,1990106,Malaysia,8,458,C R,695920
1990,1990107,Myanmar,,104,C,133545
1990,1990108,Philippines,,608,C R,154071
1990,1990109,Singapore,,702,B,727262
1990,1990110,Thailand,,764,B R,528693
1990,1990111,Timor-Leste,,626,B,8954
1990,1990112,Vietnam,,704,C R,28118
1990,1990113,Western Asia,,922,,15205444
1990,1990114,Armenia,,51,B R,658789
1990,1990115,Azerbaijan,9,31,B R,360600
1990,1990116,Bahrain,,48,C,173212
1990,1990117,Cyprus,10,196,B,43805
1990,1990118,Georgia,11,268,B,304470
1990,1990119,Iraq,,368,C R,83638
1990,1990120,Israel,,376,B R,1632704
1990,1990121,Jordan,,400,C R,1146349
1990,1990122,Kuwait,,414,C R,1074391
1990,1990123,Lebanon,,422,B R,523693
1990,1990124,Oman,,512,C,304000
1990,1990125,Qatar,,634,C,309753
1990,1990126,Saudi Arabia,,682,C R,4998445
1990,1990127,West Bank and Gaza Strip,12,275,B,288332
1990,1990128,Syria,,760,C R,714140
1990,1990129,Turkey,,792,B R,1163686
1990,1990130,United Arab Emirates,,784,C R,1306574
1990,1990131,Yemen,,887,CR,118863
1990,1990132,EUROPE,,908,,49232191
1990,1990133,Eastern Europe,,923,,21995312
1990,1990134,Belarus,,112,B,1248977
1990,1990135,Bulgaria,,100,B,21510
1990,1990136,Czechia,,203,C,110394
1990,1990137,Hungary,,348,B R,347510
1990,1990138,Poland,,616,B,1127771
1990,1990139,Moldova,13,498,B,544162
1990,1990140,Romania,,642,B,135825
1990,1990141,Russia,,643,B,11524948
1990,1990142,Slovakia,,703,B,41295
1990,1990143,Ukraine,14,804,B,6892920
1990,1990144,Northern Europe,,924,,6645605
1990,1990145,Channel Islands,15,830,B,61660
1990,1990146,Denmark,,208,B,235189
1990,1990147,Estonia,,233,B,381997
1990,1990148,Faeroe Islands,,234,B,4285
1990,1990149,Finland,16,246,B,63255
1990,1990150,Iceland,,352,B,9584
1990,1990151,Ireland,,372,B,227961
1990,1990152,Isle of Man,,833,B,34769
1990,1990153,Latvia,,428,B,646007
1990,1990154,Lithuania,,440,B,349258
1990,1990155,Norway,17,578,B,192587
1990,1990156,Sweden,,752,B,788767
1990,1990157,United Kingdom,,826,B,3650286
1990,1990158,Southern Europe,,925,,4340454
1990,1990159,Albania,,8,B,66013
1990,1990160,Andorra,,20,C,38904
1990,1990161,Bosnia-Herzegovina,,70,I R,56000
1990,1990162,Croatia,,191,B R,475438
1990,1990163,Gibraltar,,292,B,8709
1990,1990164,Greece,,300,B,618139
1990,1990165,Holy See,18,336,I,768
1990,1990166,Italy,,380,B,1428221
1990,1990167,Malta,,470,B,15077
1990,1990168,Montenegro,,499,B,..
1990,1990169,Portugal,,620,B,435782
1990,1990170,San Marino,,674,C,3310
1990,1990171,Serbia,19,688,B,99269
1990,1990172,Slovenia,,705,B,178077
1990,1990173,Spain,20,724,B,821605
1990,1990174,Macedonia,21,807,B,95142
1990,1990175,Western Europe,,926,,16250820
1990,1990176,Austria,,40,B,793239
1990,1990177,Belgium,,56,C,904528
1990,1990178,France,,250,B,5897267
1990,1990179,Germany,,276,B,5936181
1990,1990180,Liechtenstein,,438,B,10906
1990,1990181,Luxembourg,,442,B,113795
1990,1990182,Monaco,,492,B,20359
1990,1990183,Netherlands,,528,B,1182263
1990,1990184,Switzerland,,756,B,1392282
1990,1990185,LATIN AMERICA AND THE CARIBBEAN,,904,,7169728
1990,1990186,Caribbean,,915,,1056555
1990,1990187,Anguilla,,660,B,2570
1990,1990188,Antigua and Barbuda,,28,B,12029
1990,1990189,Aruba,,533,B,14444
1990,1990190,Bahamas,,44,B,26855
1990,1990191,Barbados,,52,B,24024
1990,1990192,British Virgin Islands,,92,B,8035
1990,1990193,Caribbean Netherlands,22,535,B,38410
1990,1990194,Cayman Islands,,136,C,9387
1990,1990195,Cuba,,192,B,34555
1990,1990196,Curaçao,,531,B,..
1990,1990197,Dominica,,212,B,2519
1990,1990198,Dominican Republic,,214,B,291151
1990,1990199,Grenada,,308,B,4263
1990,1990200,Guadeloupe,23,312,B,65944
1990,1990201,Haiti,,332,B,19084
1990,1990202,Jamaica,,388,B,20475
1990,1990203,Martinique,,474,B,38705
1990,1990204,Montserrat,,500,B,2013
1990,1990205,Puerto Rico,,630,B,321909
1990,1990206,St. Kitts and Nevis,,659,B,3210
1990,1990207,St. Lucia,,662,B,5305
1990,1990208,St. Vincent and the Grenadines,,670,B,3970
1990,1990209,St. Martin,,534,B,..
1990,1990210,Trinidad and Tobago,,780,B,50666
1990,1990211,Turks and Caicos Islands,,796,B,5062
1990,1990212,Virgin Islands (U.S.),,850,B,51970
1990,1990213,Central America,,916,,1829911
1990,1990214,Belize,,84,B R ,30404
1990,1990215,Costa Rica,,188,B R,417628
1990,1990216,El Salvador,,222,B R,47360
1990,1990217,Guatemala,,320,B R,264257
1990,1990218,Honduras,,340,B R,270423
