Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.38997561,73.43312195,73.4717561,73.50531707,73.5357561,73.56360976,73.58995122,73.61634146,73.64485366,73.6794878,73.72419512,73.78443902,73.86217073,73.95882927,74.07190244,74.19990244,74.33882927,74.4827561,74.62768293,74.77114634,74.91063415,75.04765854,75.18319512,75.31973171,75.45678049,75.59434146,,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.85780488,50.6277561,51.3327561,51.97026829,52.54382927,53.06241463,53.54353659,54.00970732,54.48290244,54.97514634,55.49892683,56.06070732,56.65353659,57.26587805,57.89121951,58.51558537,59.12595122,59.70885366,60.25673171,60.76460976,61.23546341,61.6742439,62.09297561,62.50160976,62.90268293,63.29819512,,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.6694878,41.82846341,42.03465854,42.30309756,42.65029268,43.09812195,43.66595122,44.35514634,45.15958537,46.07078049,47.0767561,48.16263415,49.30156098,50.46612195,51.63285366,52.78770732,53.92712195,55.0475122,56.13929268,57.181,58.14112195,58.9912439,59.71843902,60.3217561,60.80673171,61.18934146,,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.95878049,71.92626829,71.91797561,71.96480488,72.08073171,72.27626829,72.5514878,72.88395122,73.25063415,73.63553659,74.01402439,74.36292683,74.67065854,74.93470732,75.15709756,75.35702439,75.5612439,75.79492683,76.07265854,76.39487805,76.74790244,77.10846341,77.44826829,77.74709756,77.99839024,78.20314634,,
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.31927281,64.68753688,64.98154247,65.34564806,65.71336137,66.12496448,66.48417504,66.82631,67.1432097,67.43459739,67.70347437,67.95668321,68.20217114,68.44820923,68.69853756,68.95180524,69.20331866,69.44569144,69.6716377,69.87929924,70.07136083,70.25569431,70.44067505,70.63137828,70.82758949,71.02843854,,
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.80202439,72.09412195,72.37719512,72.65326829,72.92429268,73.19226829,73.45863415,73.72390244,73.9875122,74.25002439,74.50946341,74.76687805,75.01831707,75.26382927,75.50141463,75.72853659,75.94419512,76.14834146,76.34041463,76.52243902,76.69487805,76.85978049,77.01914634,77.175,77.32936585,77.4842439,,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.54365854,71.76329268,71.98895122,72.21565854,72.44139024,72.66512195,72.88734146,73.10804878,73.32768293,73.54426829,73.75580488,73.96031707,74.15578049,74.34126829,74.51878049,74.68831707,74.85141463,75.01156098,75.17129268,75.33109756,75.49202439,75.65356098,75.8147561,75.97456098,76.134,76.29302439,,
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.74878049,67.74268293,67.86260976,68.08565854,68.39860976,68.7895122,69.24312195,69.73885366,70.24817073,70.74534146,71.19965854,71.58197561,71.88839024,72.12097561,72.28473171,72.39878049,72.4912439,72.5932439,72.72590244,72.8987561,73.10929268,73.34597561,73.58621951,73.81192683,74.01958537,74.20619512,,
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.16295122,71.40058537,71.63470732,71.86585366,72.093,72.31768293,72.53885366,72.75756098,72.97378049,73.18602439,73.39729268,73.60709756,73.81543902,74.02178049,74.22614634,74.42543902,74.61914634,74.80473171,74.98219512,75.15153659,75.31329268,75.46953659,75.62180488,75.77365854,75.92409756,76.07563415,,
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.45121951,,
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.84390244,,
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.64721951,64.59458537,64.60580488,64.7062439,64.90109756,65.17473171,65.49436585,65.82126829,66.1277561,66.40985366,66.68158537,66.9724878,67.31060976,67.71256098,68.17343902,68.67709756,69.19904878,69.70621951,70.171,70.5784878,70.91860976,71.18963415,71.40568293,71.58141463,71.7247561,71.84519512,,
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.00012195,47.76268293,47.69865854,47.8544878,48.23468293,48.79719512,49.46004878,50.11880488,50.6925122,51.15019512,51.48792683,51.7287561,51.93319512,52.15221951,52.40380488,52.70536585,53.06378049,53.46646341,53.90187805,54.36202439,54.837,55.31441463,55.78287805,56.2345122,56.66331707,57.06934146,,
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,79.98292683,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,81.28780488,,
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.71395122,54.26785366,54.67817073,54.94580488,55.0797561,55.11012195,55.08012195,55.04558537,55.05470732,55.13558537,55.3107561,55.58917073,55.94865854,56.36209756,56.81492683,57.28560976,57.74912195,58.18897561,58.59070732,58.94680488,59.25926829,59.53660976,59.79785366,60.0565122,60.31812195,60.58468293,,
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.36560976,49.31646341,49.27795122,49.25965854,49.27770732,49.34031707,49.45080488,49.60587805,49.80665854,50.06065854,50.38285366,50.78860976,51.28165854,51.85726829,52.5072439,53.21843902,53.9752439,54.75565854,55.53570732,56.29487805,57.01468293,57.68112195,58.29582927,58.86036585,59.37529268,59.84465854,,
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.40856098,59.04026829,59.70734146,60.40729268,61.13202439,61.87236585,62.61256098,63.33887805,64.03819512,64.70241463,65.32512195,65.90446341,66.44965854,66.96736585,67.46260976,67.94129268,68.41026829,68.87390244,69.33368293,69.79117073,70.24204878,70.68056098,71.10090244,71.4977561,71.87165854,72.22160976,,
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.46585366,,
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.51597561,72.72260976,72.92719512,73.1292439,73.3302439,73.53073171,73.7322439,73.93429268,74.13436585,74.33297561,74.52802439,74.71797561,74.90078049,75.07690244,75.24536585,75.40717073,75.56339024,75.71456098,75.86326829,76.01002439,76.15531707,76.29963415,76.44295122,76.58521951,76.72546341,76.86519512,,
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.63065854,70.79180488,70.92963415,71.04814634,71.15480488,71.26256098,71.39043902,71.54987805,71.74787805,71.98436585,72.25429268,72.54509756,72.84126829,73.12729268,73.39465854,73.63936585,73.85946341,74.06146341,74.25095122,74.42841463,74.59690244,74.75792683,74.91397561,75.06653659,75.21763415,75.36878049,,
Bosnia-Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.78029268,70.56939024,70.51414634,70.66521951,71.02609756,71.56317073,72.20685366,72.8577561,73.43731707,73.91063415,74.26221951,74.50192683,74.67558537,74.82236585,74.95597561,75.08753659,75.22295122,75.3595122,75.498,75.64141463,75.79373171,75.95346341,76.12014634,76.29034146,76.46356098,76.64029268,,
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.83658537,70.37804878,70.02195122,68.97073171,68.76829268,68.46097561,68.51219512,68.46097561,68.40731707,67.90731707,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,,
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.28373171,71.05441463,70.74660976,70.38239024,69.98629268,69.58878049,69.21980488,68.90185366,68.65390244,68.4895122,68.41887805,68.44412195,68.54436585,68.69712195,68.88482927,69.08536585,69.27597561,69.4434878,69.57970732,69.68356098,69.76202439,69.83017073,69.90865854,70.01307317,70.1475122,70.31097561,,
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,74.0295122,,,,,,,,,77.88536585,77.88536585,78.08780488,78.33414634,78.48536585,78.68536585,78.88780488,78.93414634,79.23658537,79.38843902,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,,
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.10729268,55.65002439,56.1982439,56.74943902,57.30512195,57.86329268,58.42495122,58.98860976,59.55426829,60.12141463,60.69004878,61.25919512,61.82882927,62.39897561,62.96863415,63.53978049,64.11495122,64.69363415,65.27282927,65.84656098,66.40580488,66.94160976,67.44695122,67.91736585,68.35031707,68.74980488,,
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.34031707,65.74268293,66.17180488,66.62768293,67.10682927,67.60168293,68.10473171,68.60585366,69.09504878,69.56721951,70.01639024,70.44256098,70.84921951,71.24043902,71.61819512,71.986,72.34934146,72.70973171,73.06865854,73.42309756,73.76956098,74.1005122,74.41043902,74.69634146,74.9582439,75.19912195,,
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.17195122,71.40334146,71.63121951,71.85409756,72.0724878,72.28439024,72.48880488,72.68421951,72.87065854,73.04858537,73.2195122,73.38392683,73.54631707,73.70717073,73.86802439,74.03034146,74.19363415,74.35741463,74.52170732,74.6854878,74.84880488,75.01014634,75.17002439,75.32795122,75.48390244,75.63790244,,
Brunei,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.05119512,73.29504878,73.53339024,73.7672439,73.99709756,74.22295122,74.44431707,74.66217073,74.87553659,75.08541463,75.29478049,75.50765854,75.72302439,75.93887805,76.14921951,76.34158537,76.50043902,76.61934146,76.6957561,76.73670732,76.75419512,76.76719512,76.79519512,76.85121951,76.94173171,77.0667561,,
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.87207317,53.63046341,54.38587805,55.13878049,55.88917073,56.64753659,57.42234146,58.22109756,59.04478049,59.88890244,60.74843902,61.61443902,62.47387805,63.31129268,64.11470732,64.86965854,65.56521951,66.20039024,66.77765854,67.2994878,67.77429268,68.21095122,68.62490244,69.02507317,69.41797561,69.80712195,,
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.7615122,61.01243902,59.96226829,58.64173171,57.11290244,55.45497561,53.76402439,52.15941463,50.76239024,49.66821951,48.98258537,48.78319512,49.04378049,49.71356098,50.74636585,52.07031707,53.59368293,55.20960976,56.81946341,58.35465854,59.78092683,61.09809756,62.3472439,63.55065854,64.69439024,65.75109756,,
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.74687805,48.32858537,47.85056098,47.32878049,46.78217073,46.22717073,45.6742439,45.14080488,44.6497561,44.22946341,43.91429268,43.73358537,43.69631707,43.8054878,44.05763415,44.44282927,44.94321951,45.52646341,46.16317073,46.83492683,47.53270732,48.25697561,49.01214634,49.79565854,50.59104878,51.37785366,,
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.37707317,77.55341463,77.32073171,77.68512195,77.86195122,77.97756098,78.2304878,78.4804878,78.66243902,78.88292683,79.23658537,79.48780488,79.5902439,79.83902439,80.14146341,80.29268293,80.29268293,80.54390244,80.69512195,80.94634146,81.19756098,81.44878049,81.5835122,81.77204878,81.95304878,82.12902439,,
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.65636732,70.57260774,70.73234787,70.84622957,70.86952676,71.02589323,71.33546524,71.51758933,71.89811827,72.18473465,72.71969035,73.09799286,73.24431357,73.38382869,73.73940392,73.84004668,74.09472478,74.25238333,74.57753902,74.9318257,75.29534873,75.88847488,75.9934886,76.35516299,76.68547642,77.0269071,,
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.24243902,77.51463415,77.80609756,78.08536585,78.35,78.41707317,78.89609756,79.0795122,79.32439024,79.5804878,79.6804878,80.1804878,80.38536585,80.53658537,81.08780488,81.23658537,81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,83.19756098,,
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.4182439,75.63692683,75.84968293,76.053,76.24739024,76.43685366,76.62787805,76.827,77.03965854,77.26834146,77.514,77.77663415,78.05168293,78.33317073,78.61609756,78.894,79.16192683,79.41541463,79.6524878,79.87114634,80.07134146,80.25302439,80.42212195,80.58112195,80.735,80.88526829,,
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.54378049,73.90346341,74.25341463,74.59065854,74.91473171,75.22765854,75.5314878,75.82529268,76.11014634,76.38509756,76.64470732,76.88702439,77.10802439,77.30768293,77.487,77.64743902,77.79095122,77.923,78.05002439,78.1765122,78.30892683,78.4527561,78.60953659,78.78026829,78.9644878,79.16068293,,
